
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_1.out day_1.cpp` | 892.5 ± 15.4 | 870.9 | 925.9 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_1.out` | 3.9 ± 0.4 | 3.2 | 9.3 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_2.out day_2.cpp` | 298.1 ± 27.7 | 273.7 | 371.4 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_2.out` | 4.0 ± 0.4 | 3.6 | 8.1 | 1.00 |
| Command | Mean [s] | Min [s] | Max [s] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_3.out day_3.cpp` | 1.680 ± 0.019 | 1.660 | 1.709 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_3.out` | 20.9 ± 1.2 | 17.6 | 26.6 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_4.out day_4.cpp` | 294.6 ± 7.8 | 277.2 | 308.4 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_4.out` | 5.1 ± 0.5 | 4.3 | 7.3 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_5.out day_5.cpp` | 488.1 ± 8.8 | 467.3 | 500.3 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_5.out` | 12.5 ± 0.7 | 11.7 | 16.9 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_6.out day_6.cpp` | 420.0 ± 13.0 | 401.1 | 440.5 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_6.out` | 524.0 ± 2.3 | 520.5 | 527.5 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_7.out day_7.cpp` | 413.7 ± 13.0 | 399.4 | 435.1 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_7.out` | 448.0 ± 3.3 | 442.2 | 453.3 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_8.out day_8.cpp` | 386.9 ± 13.9 | 362.9 | 411.2 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_8.out` | 6.3 ± 0.4 | 5.5 | 9.4 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_9.out day_9.cpp` | 364.0 ± 12.0 | 352.1 | 390.0 | 1.00 |
| Command | Mean [s] | Min [s] | Max [s] | Relative |
|:---|---:|---:|---:|---:|
| `./day_9.out` | 1.034 ± 0.129 | 0.955 | 1.395 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_10.out day_10.cpp` | 462.0 ± 37.4 | 418.8 | 509.7 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./day_10.out` | 5.2 ± 0.6 | 4.1 | 8.4 | 1.00 |
| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `g++ -o day_11.out day_11.cpp` | 496.9 ± 15.3 | 478.5 | 518.3 | 1.00 |
